movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,star,votes,gross(in $),normalized_rating
tt4513110,Entropy,2017,Unknown,98,Sci-Fi,5.6,"A brilliant, but hermetic and hard-living woman discovers an anomalous cosmic force that projects the end of the universe to be a mere two weeks away. The terminal diagnosis for all ...                See full summary »",Gabriel Anderson,"Nicole Harbeck, 
Anny Elizabeth Rosario, 
Anthony George, 
Kyle Williams",9.0,0.0,0.5599999999999999
tt0091405,Liang gong po ba tiao xin,1986,Unknown,125,Sci-Fi,5.7,Three segments where advanced genetics allows men to be pregnant.,"Alfred Cheung, 
Kin Lo, 
Eric Tsang","Eric Tsang, 
On-On Yu, 
Anthony Chan, 
Ryoko Watanabe",26.0,0.0,0.5700000000000001
tt1361584,The Scarf,2009,Unknown,85,Sci-Fi,5.8,"When two high school girls, Daniella and Krista, find themselves working on a School Science Project about UFOs, they soon realize that they may be in a little over their heads. After ...                See full summary »",Kyle Lawrence,"Penny Desanto, 
Laura Geluch, 
Julian LeBlanc, 
Mikaela Martens",27.0,0.0,0.58
tt4263774,Parallel,2015,Unknown,91,Sci-Fi,5.7,A brilliant mathematician travels through time and space in search of the knowledge that would allow him to control his life and alter the events of his past. What he discovers is that he ...                See full summary »,"Keith Nickoson, 
John Turk","Terence Cranendonk, 
Liz DuChez, 
Richard Portnow, 
Amy Cates",103.0,0.0,0.5700000000000001
tt8639114,Animosity,0,Unknown,0,Sci-Fi,0.0,"11-year-old Jesse and her devoted dog, Sandor, begin a cross-country journey to find the only person who might be able to protect and save them.",Unknown,Unknown,0.0,0.0,0.0
tt1975320,Abducted,0,Unknown,0,Sci-Fi,0.0,Plot unknown: Initially described as a thriller set on an alien spaceship.,Unknown,Unknown,0.0,0.0,0.0
tt0215757,L'extraterrestre,2000,Unknown,93,Sci-Fi,3.4,"Chased by two androids programmed to kill him, Zerph puts down his flying saucer in Auvergne while waiting for help.",Didier Bourdon,"Didier Bourdon, 
Bernard Campan, 
Pascale Arbillot, 
Danièle Lebrun",556.0,0.0,0.33999999999999997
tt8912822,Tweed,0,Unknown,0,Sci-Fi,0.0,Add a Plot,Alexander Wraith,Alexander Wraith,0.0,0.0,0.0
tt2815912,All of Our Yesterdays,0,Unknown,0,Sci-Fi,0.0,Story is set in the near-distant future when a young woman must travel back in time to kill her first love before he destroys her present-day world.,Unknown,Unknown,0.0,0.0,0.0
tt1447176,Moon Europa,2009,Unknown,0,Sci-Fi,0.0,"Osias and Bria, both clones, are in love under the tyranny of Nevco, a global corporate mega power. Osias seeks love and freedom, but Bria is unwilling to follow her instincts and chooses ...                See full summary »",Christopher Levoy Bower,"Yve Adams, 
Draven Archane, 
Louis Bissell, 
Christopher Levoy Bower",0.0,0.0,0.0
tt3377798,6 Minutes of Death,2013,Not Rated,70,Sci-Fi,2.8,In a small town circa 1860 small pox takes the life of a little boy. He enters a world that will get him prepped and re-incarnated for his next life.,Joseph Ciminera,"Julia Gregorio, 
Josh Elliott Pickel, 
Joseph Ciminera, 
Keeler Jay Vernon",442.0,0.0,0.27999999999999997
tt7746524,DMZ,0,Unknown,0,Sci-Fi,0.0,"In 2032 in a ""Demilitarized Zone"" between the US and Mexico, a team of elite futuristic DEA agents follows a huge cache of money that the Cartel is trying to exchange.",Nicolai Fuglsig,Unknown,0.0,0.0,0.0
tt1586255,L'invasione degli astronazi,2009,Unknown,87,Sci-Fi,5.7,"Brought back to life by computer from the Aldebaran's people, Adolf Hitler start an Earth invasion with spaceships in the shape of a swastika. The story is intertwined with the adventures ...                See full summary »",Alberto Genovese,"Sara Cannata, 
Andrea Cataudella, 
Giovanni De Giorgi, 
Massimo Gardella",22.0,0.0,0.5700000000000001
tt11173184,The Traveler,0,Unknown,0,Sci-Fi,0.0,Plot under wraps.,Unknown,Unknown,0.0,0.0,0.0
tt1828194,Hellacious Acres: The Case of John Glass,2011,Not Rated,99,Sci-Fi,3.7,"John Glass, wakes up in a desolated barn from a long cryogenic slumber, to be informed that not only the planet has been devastated by a third world war, but reduced to little habitability ...                See full summary »",Pat Tremblay,"Jamie Abrams, 
Paula Davis, 
Navin Pratap",206.0,0.0,0.37
tt11539822,Move On,0,Unknown,0,Sci-Fi,0.0,"After humanity is frozen in time, Teddy and his ex-girlfriend Leyna seem to be the only people who are unaffected. They search for the cause of the freeze and confront the issues from their relationship.",Unknown,Unknown,0.0,0.0,0.0
tt5304634,Gun Caliber,2017,Unknown,82,Sci-Fi,5.0,Evil in Tokyo is on the rise and heroes have become a common commodity just out for fame and glory. Washed out anti-hero Gun Caliber is summoned to save Tokyo from the forces of Evil.,Bueno,"Sakura Fujiwara, 
Joey Min, 
Yuyu Umenaga, 
Megwin",24.0,0.0,0.5
tt0362169,Space Specks,2003,Unknown,85,Sci-Fi,7.1,"While on an emergency medical mission, a starship is attacked by a tiny alien spaceship whose bark is worse than its bite. It's not easy in outer space to negotiate with an under-sized foe ...                See full summary »",Rick Dunbar,"Tom Sellwood, 
Krista Welter, 
Greg Salomone, 
Clio Berney",18.0,0.0,0.71
tt0142739,L'or,1934,Unknown,118,Sci-Fi,6.3,"An investigator uncovers sinister sabotage in the death of a scientist who was on the verge of producing an artificial version of mankind's most precious metal..Simultaneously filmed French version of the German film, Gold.","Serge de Poligny, 
Karl Hartl","Pierre Blanchar, 
Brigitte Helm, 
Roger Karl, 
Rosine Deréan",22.0,0.0,0.63
tt5251806,Chronicles of Humanity: Redemption,2015,Unknown,62,Sci-Fi,7.6,"Six years have passed since the war ended. With no cure for the alien virus, Earth's population is being resettled on the fringe of known space. One by one, these frontier settlements are disappearing.",Damien Valentine,"Kim Genly, 
Charlie Allen-Wall, 
Mark Meer, 
Elizabeth Gmaz",25.0,0.0,0.76
tt4877264,The Projects,2016,Unknown,103,Sci-Fi,6.4,An elderly couple is offered to meet with their dead son by strange people in exchange for herbal medicine.,Junji Sakamoto,"Naomi Fujiyama, 
Ittoku Kishibe, 
Mari Hamada, 
Mayu Harada",129.0,0.0,0.64
tt1278086,Exile to Babylon,0,Unknown,0,Sci-Fi,0.0,A CIA operative infiltrates private military security firm BlackShield as they recruit L.A. gang members to serve in special death squad units to fight in Babylon.,Domagoj Mazuran,Unknown,0.0,0.0,0.0
tt10488640,Bot Wars,0,Unknown,0,Sci-Fi,0.0,"The devastating ""Bot Warz"" of 2050 brought mankind to the brink of extinction.But in the end, even the supreme AI of the sentient robots, hell bent on destroying all flesh, were no match ...                See full summary »","Steffen Hacker, 
Alexander Kiesl",Unknown,0.0,0.0,0.0
tt15710110,Let's Kill Karen,2021,Unknown,0,Sci-Fi,0.0,A fearless millennial uncovers the origin of a terrorist-like group of entitled women and needs her flamboyant brother's help to stop their rapid expansion.,Courtney J. Camerota,"Kaileela Hobby, 
Sam Durant Hunter, 
Ashlee Voorsanger",0.0,0.0,0.0
tt11246980,Another Place,0,Unknown,0,Sci-Fi,0.0,"A war is being fought between powerful organized nations of women and a scattered union of men who are on the brink of extinction. Naomi, a young teenage girl, torn between the two factions...                See full summary »","Elfina Luk, 
Zak Santiago, 
Trezzo Mahoro",Unknown,0.0,0.0,0.0
tt0185528,19,1987,Unknown,98,Sci-Fi,6.9,"Set in Tokyo in 1998, three 19-year-old time patrollers are dispatched to take part in time travelling vampire hunting.",Kenshô Yamashita,"Noriyuki Higashiyama, 
Kazukiyo Nishikiori, 
Katsuhide Uekusa, 
Sanma Akashiya",21.0,0.0,0.6900000000000001
tt0478208,The Men Who Fell,2007,Unknown,85,Sci-Fi,3.6,"Two prisoners die floating in a space detention facility above a post-apocalyptic earth, hired by a mega corporation, Hunsinger, to retrieve an object on Earth. Because they are prisoners, ...                See full summary »",William L. Stewart,"Brendan Guy Murphy, 
Aaron Stielstra, 
Kimberly Parmon, 
Ben Naasz",232.0,0.0,0.36
tt8856928,Naked Reality,2016,Unknown,0,Sci-Fi,0.0,"Wanita (Weza Da Silva), is on a search for her identity. As it is often the case in Bekolo's work, the personal identity of the character is but the smallest manifestation of an identity ...                See full synopsis »",Jean-Pierre Bekolo,"Weza Da Silva, 
Luthuli Dlamini, 
Akin Omotoso",0.0,0.0,0.0
tt6277616,Meals on Wheels,0,Unknown,0,Sci-Fi,0.0,A group of post apocalyptic survivors come to grips with their own priorities while running through the desert from blood thirsty zombies.,"Torsten Colijn, 
Dennis Galloway",Unknown,0.0,0.0,0.0
tt26625884,Metruk,2023,Unknown,120,Sci-Fi,0.0,"It tells the story of Meryem, who goes in search of Ali, who is researching extraterrestrials, after her disappearance.",Mehmet Ali Zaim,"Siar Zaim, 
Gözdenur Akaltin, 
Gül Gökçe Korkmaz, 
Serap Çetintürk",0.0,0.0,0.0
tt18306296,Clowns vs. Spiders,0,Unknown,0,Sci-Fi,0.0,Based on the best-selling novel by Jeff Strand.,Unknown,Unknown,0.0,0.0,0.0
tt3421176,Sliders,0,Unknown,0,Sci-Fi,0.0,Plot unknown.,Hidalgo Serra,Unknown,0.0,0.0,0.0
tt0190818,Teito monogatari gaiden,1995,Unknown,89,Sci-Fi,6.1,Add a Plot,Izô Hashimoto,"Bengal, 
Kitarô, 
Kazuhiko Nishimura, 
Hatsuotoko Sanya",18.0,0.0,0.61
tt6662586,Carbon,0,Unknown,0,Sci-Fi,0.0,Plot kept under wraps Son.,Unknown,Unknown,0.0,0.0,0.0
tt3263160,Jumborg Ace & Giant,1974,Unknown,93,Sci-Fi,7.0,"This film teams the Japanese superhero Jumborg Ace with a giant stone idol called Yuk Wud Jaeng, simply known as ""Giant"" against Ace's own enemies.",Sompote Sands,Unknown,20.0,0.0,0.7
tt4420554,Ingress,2016,Unknown,102,Sci-Fi,0.0,A post-apocalyptic film that deals with portals in water. Ingress follows three individuals who set out on a journey to find a portal that leads to a non-apocalyptic time continuum.,Christian Blake,"Christian Blake, 
Ethan Gallardo, 
Preston Savelle",0.0,0.0,0.0
tt5727514,Spider-Man: Vengeance,2016,Unknown,58,Sci-Fi,6.3,"Peter Parker/Spider-Man's suit becomes attached to an alien symbiote, which makes him tough and bulletproof. Romance blossoms with new girl, Mary Jane Watson. Peter's best friend, Harry, ...                See full summary »",Cameron Dodd,"Mark Ricci, 
Kaleb Carmichael, 
Sydney Hall, 
Greg Campbell",49.0,0.0,0.63
